"Count","Name"
"8","C45 Einde van de snelheidsbeperking opgelegd door het verkeersbord C43.png"
"8","C46 Einde van alle plaatselijke verbodsbepalingen opgelegd aan de voertuigen in beweging.png"
"8","C47 Tolpost. Verbod voorbij te rijden zonder te stoppen.png"
"8","C9 Verboden toegang voor bestuurders van bromfietsen.png"
"8","D10 Deel van de weg voorbehouden voor voetgangers en fietsers.png"
"8","D11 Verplichte weg voor voetgangers.png"
"8","D1a Verplichting rechtdoor.png"
"8","D1e Verplicht de aangeduide richting te volgen (linksaf).png"
"8","D1f Verplicht de aangeduide richting te volgen (rechtsaf).png"
"8","D3a Verplicht één van de pijlen te volgen.png"
"8","D3b Verplicht één van de pijlen te volgen.png"
"8","E5 Parkeerverbod van de 1e tot de 15e van de maand.png"
"8","E7 Parkeerverbod van de 16e tot het einde van de maand.png"
"8","E9a mindervaliden Parkeren enkel toegelaten voor mindervaliden.png"
"8","E9a parkeerschijf Parkeren beperkt in tijd, parkeerschijf verplicht.png"
"8","E9c Parkeren uitsluitend voorvrachtwagens.png"
"8","E9d Parkeren uitsluitend voor autocars.png"
"8","E9e Verplicht parkeren op de berm of op het trottoir.png"
"8","E9f Verplicht parkeren deels op de berm of op het trottoir.png"
"8","E9i Parkeren uitsluitend voor motorfietsen.png"
"8","E9j wisselend parkeren Parkeerplaats voorzien voor wisselend parkeren fietsers en autos.png"
"8","F101b Einde deel van de openbare weg voorbehouden voor fietsers en voetgangers.png"
"8","F12a Begin van een woonerf of van een erf.png"
"8","F12b Einde van een woonerf of van een erf.png"
"8","F17 Rijstrook aanduiding voorbehouden voor autobussen.png"
"8","F18 Bijzondere overrijdbare bedding.png"
"8","F23a Nummer van een gewone weg.png"
"8","F23b Nummer van een autosnelweg.png"
"8","F23c Nummer van een internationale weg.png"
"8","F23d Nummer van een ringweg.png"
"8","F3b Einde van een bebouwde kom.png"
"8","F45L Doodlopende weg, linkse doorgang.png"
"8","F45R Doodlopende weg, rechtse doorgang.png"
"8","F99b Deel van de openbare weg voorbehouden voor fietsers en voetgangers.png"
"8","GIa Aanduiding van een afstand.png"
"8","GIb Aanduiding van een afstand.png"
"8","GIII Opgepast kans op ijzel.png"
"8","GVIIa Aanvulling van de verkeersborden voor parkeren.png"
"8","GVIIb Aanvulling van de verkeersborden voor parkeren.png"
"8","GVIId Aanvulling van de verkeersborden voor parkeren.png"
"8","GVIII Voorrangs aanduiding.png"
"8","GXI Afrit.png"
"8","ZE1 Zone parkeerverbod.png"
"7","A17 Kiezelprojectie.png"
"7","B1 Voorrang verlenen.png"
"7","B15A Variant schuine links.png"
"7","B5 Stop en voorrang verlenen.png"
"7","C35 Verbod een voertuig links in te halen.png"
"7","C6 Verboden toegang voor bestuurders van quads.png"
"7","E9b Parkeren uitsluitend voor autos.png"
"7","E9h Parkeren uitsluitend voor kampeerautos.png"
"7","F101a Einde voorbehouden voor voetgangers fietsers ruiters en speed pedelecs.png"
"7","F101c Einde voorbehouden voor landbouwvoertuigen voetgangers fietsers ruiters en speed pedelecs.png"
"7","F1b Begin van een bebouwde kom-2.png"
"7","F45b Doodlopende weg (rechts_links).png"
"7","F45b.png"
"7","F4a Zone 30 km u.png"
"7","F4b Einde zone 30 kmu.png"
"7","F99a Voorbehouden voor voetgangers fietsers ruiters en speed pedelecs.png"
"7","F99c Voorbehouden voor landbouwvoertuigen voetgangers fietsers ruiters en speed pedelecs.png"
"6","A1a Gevaarlijke bocht naar rechts.png"
"6","A1c Gevaarlijke dubbele bocht (rechts-links).png"
"6","A33-v1 Verkeerslichten.png"
"6","A53 Opgelet verzinkbare paal.png"
"6","A7b Versmalling langs rechts.png"
"6","C11a Verboden toegang voor fietsers.png"
"6","C11b Verboden toegang voor tweewielige fietsen.png"
"6","C28a Verboden toegang voor bestuurders van voertuigen of sleep breder dan het aangeduide.png"
"6","C41 Einde van het verbod opgelegd door het verkeersbord C39.png"
"6","C43 - Verbod te rijden met een grotere snelheid dan is aangeduid 30 km.png"
"6","C43 Verbod te rijden met een grotere snelheid dan 10 km.png"
"6","E9g Parkeren op rijbaan.png"
"6","F31 Wegwijzer autostrade.png"
"6","F45b Doodlopende weg, uitgezonderd voetgangers en fietsers.png"
"6","F50b.png"
"6","GIII- Opgepast kans op aquaplaning.png"
"6","ZC21 - Zone verboden toegang voor bestuurders van voertuigen waarvan de massa hoger is dan de aangeduide massa.png"
"6","ZC21- Einde zone verboden toegang voor bestuurders van voertuigen waarvan de massa hoger dan 3500 kg.png"
"6","ZC21 Zone verboden toegang voor bestuurders van voertuigen waarvan de massa hoger dan 3500 kg.png"
"6","ZC35- Einde zone verboden inhalen.png"
"6","ZC43 Zone met een snelheidsbeperking.png"
"6","ZC45 Einde zone met een snelheidsbeperking.png"
"6","ZC5- Einde zone verboden toegang voor motorvoertuigen met meer dan 2 wielen.png"
"6","ZE1- Einde zone parkeerverbod.png"
"6","ZONE F111- ZONE Fietsstraat.png"
"6","ZONE F113- Einde ZONE Fietsstraat.png"
"5","D13 Verplichte weg voor ruiters.png"
"5","E9a - Parkeren toegelaten.png"
"5","E9a Parkeren toegelaten.png"
"5","F1a Begin van een bebouwde kom-0.png"
"5","F3a Einde van een bebouwde kom-2.png"
"5","ZE9a- Einde zone parkeren uitsluitend voor auto's.png"
"5","ZE9a Zone parkeren uitsluitend voor auto's.png"
"5","ZE9aT- Einde zone parkeren uitsluitend voor auto's.png"
"5","ZE9aT Zone parkeren uitsluitend voor auto's.png"
"4","B15a Voorrang op de kruisende zijwegen.png"
"4","C43 - Verbod te rijden met een grotere snelheid dan is aangeduid 50 km.png"
"4","C43 - Verbod te rijden met een grotere snelheid dan is aangeduid 70 km.png"
"4","E9a Elektrisch opladen.png"
"4","E9b Parkeren uitsluitend voor auto''s.png"
"4","E9h Parkeren uitsluitend voor kampeerauto''s.png"
"4","ZC35T Einde zone verboden inhalen.png"
"3","A11 Slecht wegdek (oneffenheden).png"
"3","A1b Gevaarlijke bocht naar recht.png"
"3","A1d Gevaarlijke dubbele of meer dan twee bochten, de eerste naar rechts.png"
"3","A7c Versmalling recht.png"
"3","B11 Einde voorrangsweg.png"
"3","B15b Voorrang op kruisende zijweg.png"
"3","B15c Voorrang op kruisende zijweg.png"
"3","B15d Voorrang op kruisende zijweg.png"
"3","B15e Voorrang op kruisende zijweg.png"
"3","B15f Voorrang op kruisende zijweg.png"
"3","B15g Voorrang op kruisende zijweg.png"
"3","B17 Kruispunt waar de voorrang van rechts geldt.png"
"3","B19 Smalle doorgang voorrang verlenen aan de bestuurders die uit de tegenovergestelde richting komen.png"
"3","B21 Smalle doorgang voorrang ten opzichte van de bestuurders die uit de tegenovergestelde richting komen.png"
"3","B22 Fietsers en speed pedelecs mogen rechtsaf slaan en de verkeerslichten voorbijrijden.png"
"3","B9 Voorrangsweg.png"
"3","C22a Verboden toegang voor bestuurders van autobussen.png"
"3","C39 Verbod voertuigen met toegelaten massa  3500 kg in te halen.png"
"3","C43 Verbod te rijden met een grotere snelheid dan is aangeduid.png"
"3","E9g - Verplicht parkeren op de rijbaan.png"
"3","E9j wisselend parkeren Parkeerplaats voorzien voor wisselend parkeren fietsers en auto''s.png"
"3","F34a.png"
"3","M12 30 min parkeren.png"
"3","M12 Uitzonderd fiets en bromfiets A_P.png"
"3","ZC21T Einde zone verboden toegang voor bestuurders van voertuigen waarvan de massa hoger is dan de aangeduide massa.png"
"3","ZC21T Zone verboden toegang voor bestuurders van voertuigen waarvan de massa hoger is dan de aangeduide massa.png"
"3","ZE1.png"
"3","ZE9a Zone parkeren uitsluitend voor auto''s.png"
"3","ZE9aT Zone parkeren uitsluitend voor auto''s.png"
"2","A15 Slipgevaar - glad wegdek.png"
"2","A1a%20Gevaarlijke%20bocht%20naar%20links.png"
"2","A1a.png"
"2","A21 Overstekende voetgangers.png"
"2","A23 Kinderen.png"
"2","A25 Overstekende fietsers.png"
"2","A35 Laagvliegende vliegtuigen.png"
"2","B1.png"
"2","C41.png"
"2","C43 - Verbod te rijden met een grotere snelheid dan is aangeduid 90 km.png"
"2","E9g Verplicht parkeren op de rijbaan.png"
"2","E9i.png"
"2","E9j.png"
"2","F34b.png"
"2","F34c.png"
"2","F50.png"
"2","F50bis Opgepast als je van richting veranderd, voetgangers.png"
"2","F50bis Opgepast als je van richting verandert fietsers.png"
"2","GII Aanduiding van de lengte van een gedeelte van de openbare weg.png"
"2","GIII Opgepast industriezone.png"
"2","GIII Opgepast kans op aquaplaning.png"
"2","GIII Opgepast uitrit.png"
"2","GIV Enkel laden & lossen.png"
"2","GIX Versmalling van een rijstrook.png"
"2","GV Aanvulling op de verkeersborden stilstaan en parkeren.png"
"2","GVIId - Aanvulling van de verkeersborden voor parkeren p + r.png"
"2","GVIId Aanvulling van de verkeersborden voor parkerenCARPOOL.png"
"2","GXa Begin van de reglementering.png"
"2","GXb Einde van de reglementering.png"
"2","GXc Reglementering op een korte afstand.png"
"2","GXd Reglementering op een lange afstand.png"
"2","M1 Enkel voor fietsers.png"
"2","M10 Fietsers en bromfietser in twee richtingen op de dwarslopende weg die je gaat oprijden.png"
"2","M12 Fietsrichtingen links rechts.png"
"2","M12-richtingen.png"
"2","M13 Verplichting voor speed pedelecs.png"
"2","M15 Verbod voor speed pedelecs.png"
"2","M17 Fietsers en speed pedelecs mogen in 2 richtingen.png"
"2","M2 Uitzonderd fiets.png"
"2","M3.png"
"2","M3b.png"
"2","M3bis Uitgezonderd fietsers en bromfietsers.png"
"2","M4 Fietsers mogen in 2 richtingen.png"
"2","M5 Fietsers en bromfietsers Klasse A mogen in 2 richtingen.png"
"2","M5.png"
"2","M5b.png"
"2","M7 Verbod voor bromfietsen klasse B.png"
"2","M9 Fietsers in twee richtingen op de dwarslopende weg die je gaat oprijden.png"
"2","markering_rechts_verticaal_3.png"
"2","MARK-R3.png"
"2","placeholder.png"
"2","Type Ia1 Bakens voor signalisatie op afstand, links.png"
"2","Type Ia2 Bakens voor signalisatie op afstand, splitsing links.png"
"2","Type Ib1 Bakens voor signalisatie op afstand, rechts.png"
"2","Type Ib2 Bakens voor signalisatie op afstand, splitsing rechts.png"
"2","Type Ic Bebakening van een bocht.png"
"2","Type IIb Baken voor zijdelingse signalisatie, rechts.png"
"2","Type V Bebakening van een bocht.png"
"2","Type VaBebakening van een bocht.png"
"2","TYPE-IA1.png"
"2","TYPE-IA2.png"
"2","TYPE-IB1.png"
"2","TYPE-IB2.png"
"2","TYPE-IC.png"
"2","TYPE-IIB.png"
"2","TYPE-V.png"
"2","TYPE-VA.png"
"2","u0027s.png"
"2","ZC35 Einde zone verboden inhalen.png"
"2","ZC5 Einde zone verboden toegang voor motorvoertuigen met meer dan 2 wielen.png"
"2","ZE9a parkeerschijf Zone parkeren beperkt in tijd, parkeerschijf verplicht.png"
"2","ZE9a Zone parkeren uitsluitend voor auto''s_0.png"
"2","ZE9aT Einde zone parkeren uitsluitend voor auto''s.png"
"2","ZE9T Zone parkeren voor voertuigen met 3.5t uitzondering.png"
"2","ZONE F113 Einde ZONE Fietsstraat.png"
